[Date "2017.09.18"]
[Player1 "Johnny4Deep"]
[Player2 "Optimus4Deep"]
[Result "0-R"]
[Size "5"]
1. d4 b5
2. a5 d3
3. a4 e4
4. b4 d2
5. c3 d1
6. 1c3>1 1d2+1
7. Sd2 3d3>3
8. c4 d5
9. b3 Ce2
10. 1c4>1 e1
11. Ce5 1e4<1
12. 1e5<1 e4
13. e5 c5
14. 2d5-2 1e4+1
15. 3d4>3 c4
16. 3e4+3 1c4>1
17. d3 3e3<111
18. 5e5<14 2d4+2
19. 1d2+1 1d4>1
20. e3 1e2+1
21. 3d3+12 e2
22. 4d5>4 2e3+2
23. a3 e3
24. 1b4-1 b4
25. d3 1e3<1
26. 1d4-1 1b4-1
27. 1c3<1 Sb2
28. 4b3>22 1b2+1
29. b4 2b3>11
30. 2c3<2 e3
31. 2b3-11 5d3<122
32. 1d3<1 3a3>3
33. d3 a3
34. Sd2 3b3>3
35. Sc4 5c3<14
36. 1b4-1 5a3>14
37. 1b2+1 5c3<14
38. Sb2 5b3+32
39. 1c4<1 3e4<111
40. 3e5-12 2b4>2
41. 1a4>1 2b3+2
42. 1e5-1 3b5<3
43. 5c5<32 3b5>111
44. 5a5>113 3b4+3
45. 4d5<22 4a3+13
46. 1b5<1 1e5-1
47. 3e3+3 3c4+3
48. a1 Sa3
49. 3e4-21 1a3+1
50. 2e2+2 3c5<3
51. 1d5<1 4b5>4
52. 4e3+13 3c5>21
53. Se3 4e5<112
54. 1b2>1 4e4<112
55. 1a5-1 e4
