[Date "2017.09.13"]
[Player1 "Johnny4Deep"]
[Player2 "Johnny3Stacks"]
[Result "R-0"]
[Size "5"]
1. e5 a1
2. a2 d4
3. b3 c4
4. a4 a5
5. 1a4+1 b2
6. a4 1b2<1
7. 1a1+1 b5
8. a3 1b5<1
9. 1a4+1 Ca4
10. 4a5>22 1a4-1
11. 3a2>12 2a3>2
12. c3 3b3>3
13. b3 4c3-4
14. Cb4 5c2<5
15. 1b4>1 d2
16. c3 a2
17. 1c3-1 1d2<1
18. 2c4-11 1c3<1
19. b4 d5
20. 1b4-1 e4
21. 4c2+22 d3
22. b4 d2
23. 2c4>2 e3
24. 2c3>11 c2
25. 3d4-12 2d3<11
26. 2e3<2 4b3+22
27. Sc4 4b5>13
28. Sd4 1c3>1
29. 1d4-1 3d5-3
30. 1c4+1 c3
31. 2d3+2 1c3>1
32. 4d4-4 1d5-1
33. 5d3+5 c3
34. 3d4<12 a3
35. 4c5>22 d1
36. e1 1c3>1
37. 3d4-3 c5
38. e2 
