[Date "2017.09.18"]
[Player1 "SimpleJack3"]
[Player2 "Optimus3Deep"]
[Result "0-R"]
[Size "5"]
1. c1 c3
2. b1 1c1<1
3. Ca1 2b1+2
4. b1 c2
5. 1b1+1 1c2<1
6. b1 c2
7. 1b1+1 1c2<1
8. Sd5 c2
9. b1 4b2+22
10. Sc4 Ca4
11. 1d5-1 d2
12. 1b1+1 1c2<1
13. b1 2b2>2
14. 1b1+1 2b3-2
15. b1 a2
16. 1b1+1 2b4-11
17. 1a1+1 5b2+5
18. 2a2+2 a2
19. 2a3-2 a3
20. 2a2>11 a5
21. 3c2<12 b5
22. b1 2b3>2
23. 1b1+1 1b5>1
24. 5b2+5 2c3<2
25. 3a2+3 5b3>14
26. b1 5b3-32
27. Sc1 b4
28. 1c1<1 b5
29. 4b1+112 1a4>1
30. b1 d5
31. Se5 4b4-112
32. 2a3>2 2b2<2
33. 3b3-3 a4
34. 5b2<5 1a3>1
35. 3a2+3 2a2>2
36. c1 e2
