[Date "2017.09.19"]
[Player1 "Optimus4Deep"]
[Player2 "Johnny4Deep"]
[Result "R-0"]
[Size "5"]
1. a2 b4
2. c4 e3
3. c5 b5
4. d3 1b5-1
5. 1c4<1 1e3<1
6. c3 e4
7. 1c3>1 a5
8. c4 a3
9. a4 Cd4
10. 1a4+1 1d4-1
11. a4 4d3+4
12. 2b4+2 4d4<22
13. 1c5-1 3b4>3
14. Cb4 e5
15. b3 d4
16. b2 1a2>1
17. 1b3-1 1d4+1
18. b3 Sb1
19. 3b2>12 4c4-4
20. d1 4c3<4
21. 1b4>1 Sc5
22. 3c4>12 1c5-1
23. d3 5b3>14
24. b3 5d3<14
25. d3 1d5-1
26. 3e4<3 Sd5
27. c5 5b3>5
28. e2 b2
29. 1a4-1 1b1+1
30. 1c2-1 2b2>11
31. 4d4-31 2d3>2
32. 2d2+2 2e3-11
33. 1c1+1 1d5-1
34. 1d1>1 1e2-1
35. 1e2-1 2c4+2
36. e2 b3
37. b2 2c5>11
38. a2 
