[Date "2017.09.13"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny4Deep"]
[Result "0-0-0"]
[Size "5"]
1. e1 a1
2. a2 d1
3. a3 b2
4. a5 1b2<1
5. 1a3-1 b5
6. 1a5>1 d2
7. a3 b4
8. Ca4 Ca5
9. 1a4>1 1a5>1
10. a4 2b5<2
11. c4 2a5-2
12. 2a2>2 3a4-3
13. c5 4a3-4
14. 1c5<1 c2
15. Sc1 1c2<1
16. 1c1>1 e2
17. 2b4-11 d3
18. 2d1+2 c3
19. a5 e3
20. 3d2+3 d2
21. b4 c5
22. b1 1b3+1
23. 4b2+22 b2
24. 1b1+1 5a2>5
25. 1c4+1 c2
26. a2 a3
27. 2b3<2 5b2<5
28. b3 1c2<1
29. 4b4-13 e5
30. 3d3>3 1c3<1
31. 4e3<112 2d3+11
32. 5b3>14 e4
33. e3 3a2+3
34. 1e3-1 1d2>1
35. 4b2>121 5a3-14
36. 4e2<22 e2
37. e3 b4
38. 4d3+13 b3
