[Date "2017.09.18"]
[Player1 "Johnny4Deep"]
[Player2 "Optimus4Deep"]
[Result "F-0"]
[Size "5"]
1. d1 c3
2. a3 e1
3. d2 a4
4. d3 1a4-1
5. e3 b3
6. c5 1d1+1
7. a4 e2
8. d5 c2
9. 1e3-1 1e1+1
10. b2 1b3-1
11. 1c3-1 3e2<12
12. Cc3 3c2-3
13. 1c3-1 3d2+3
14. 2c2-2 Cc2
15. 4c1<4 a2
16. c3 1d3<1
17. 4b1+4 2a3+2
18. b3 a3
19. b4 a1
20. 5b2<5 1c2<1
21. 5a2+23 c2
22. 5a4-14 2c3<2
23. 1c1<1 1a1>1
24. Sc4 d2
25. e5 Sb5
26. Se2 2b2+2
27. 1c4-1 1b5>1
28. 1c3>1 5b3<5
29. 4d3-13 1c2>1
30. b2 3d2<12
31. 3d1<12 a5
32. 3b1+3 b5
33. 5b2>14 d1
34. 4d2-4 d2
35. 1a4>1 1b5-1
36. 2c2>2 a4
37. c3 c2
38. 1c3-1 c3
39. d3 1c3>1
40. 3d2+3 Sd2
41. 5d3+5 2c5-2
42. d3 2c4>2
43. e1 1d2<1
44. c5 
