[Date "2017.09.15"]
[Player1 "Optimus3Deep"]
[Player2 "Johnny3Deep"]
[Result "0-F"]
[Size "5"]
1. e5 a1
2. a2 d4
3. a3 c4
4. b2 c3
5. a5 a4
6. 1a5-1 a5
7. b4 1c4<1
8. 2a4>2 d5
9. Cb5 1d5-1
10. 3b4-21 2b3>2
11. Sb1 Sd3
12. Sd2 1d3+1
13. Sc4 Ce1
14. 1d2>1 3d4-3
15. 1c4+1 3d3<3
16. 1c5>1 Sc2
17. 1a3+1 Sc5
18. Sc1 Se4
19. Sd1 1e4+1
20. 1e2<1 Sb3
21. 1b5<1 a3
22. 1b2<1 1a3-1
23. 1b2<1 1b3<1
24. 1d2+1 5c3+5
25. 3a2>3 2c4<11
26. 1a5-1 2b4-11
27. 1b1+1 2c4>11
28. 1b3>1 1c4-1
29. 1d3<1 e2
30. 5b2+122 d2
31. 1d1+1 1a3>1
32. a3 2b3<2
33. 1a4-1 1a4+1
34. 2b5-11 3b4>111
35. 1d2+1 1e1+1
36. 2d4<11 2e2<2
37. 1b4+1 2e5-2
38. Sb4 1c5-1
39. Sb1 4e4<4
40. 1d5>1 Se4
41. 1d3>1 Sd3
42. Se1 3d2>3
43. 1e1<1 Se1
44. Sb2 3c4+3
45. 2c3+2 2c5<11
46. 1b4+1 2e2<11
47. 1d1+1 2c2+11
48. 1b3>1 3c4<12
49. 4c3+4 d5
50. b3 c3
51. 3b5>12 2a5>11
52. 3a3>12 c2
