[Date "2017.09.18"]
[Player1 "Johnny4Deep"]
[Player2 "Optimus4Deep"]
[Result "1/2-1/2"]
[Size "5"]
1. c3 a2
2. b4 c2
3. a3 d2
4. b2 e2
5. c4 Cb3
6. 1c4-1 1b3>1
7. d3 e1
8. b5 c5
9. 1d3-1 1e2<1
10. Cb3 1c5<1
11. Sd3 2d2-2
12. Se4 3c3-3
13. 1d3-1 4c2<13
14. 2d2-2 a5
15. c5 4a2+22
16. 1b3<1 Sb3
17. 3d1>3 2b5-2
18. 3a3-3 b5
19. d5 Sc1
20. e3 1c1>1
21. 1c5<1 1a5>1
22. Sc5 2b5<2
23. e2 c4
24. 1c5-1 c5
25. 2c4<2 1a4>1
26. 1d5<1 3b4<3
27. 3a2>3 1b5>1
28. 4b2>22 1b3-1
29. 1a3>1 b5
30. d3 d5
31. Se5 a3
32. 1b3+1 a2
33. a1 1a2-1
34. a2 2a1+2
35. a1 2a4>2
36. 2c2-2 3a2-3
37. Sa2 2d1<2
38. 1e5<1 2c5-2
39. 1a2-1 2b2<2
40. 2d5<2 b3
41. 3c5<12 c3
42. 4a5-13 c2
43. d4 
