[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-R"]
[Size "5"]
1. e5 a1
2. Ce4 c5
3. Sd5 c4
4. Sc3 b4
5. b1 b3
6. a2 a4
7. Sb5 a5
8. 1b5-1 b5
9. d2 a3
10. d1 b2
11. c1 1b2-1
12. b2 2b1+2
13. b1 3b2-3
14. 1a1>1 Cb2
15. 4b1<4 1b2-1
16. 4a1+112 2b1>11
17. 3a4+3 1b5<1
18. Sa4 2a5>2
19. 2a2>11 2d1<2
20. 2a3>2 4c1+4
21. b1 5c2<5
22. d1 3b2+3
23. 3b2>111 5b3-14
24. a2 c1
25. e1 a3
26. d3 d4
27. 1a4+1 a1
28. 1d5<1 d5
29. 2c5>2 c5
30. 3d5<3 d5
31. 4c5>4 c5
32. 5d5<5 1a1+1
33. a1 d5
34. 1a1+1 1b2<1
35. Sb2 a1
36. 1b4>1 
