[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-0-0"]
[Size "5"]
1. d2 e1
2. e2 e3
3. 1e2<1 c1
4. d3 c2
5. e2 d1
6. 1d3>1 1c2>1
7. e4 2d2>2
8. 1e1+1 1d2>1
9. 2e3-2 c3
10. d2 d3
11. 5e2+23 c2
12. 2e2<11 1d1+1
13. b2 1c1+1
14. d1 2c2<2
15. e1 e2
16. 2e3-2 a2
17. e3 3d2>3
18. 1e1+1 Sd2
19. 4e2+4 1d3>1
20. 2e2+2 1e2+1
21. 4e4-4 Sd3
22. Ce2 1d3>1
23. 1e2+1 Cd3
24. b1 c4
25. c1 c5
26. a1 1a2-1
27. 1c1+1 3b2>3
28. Sc1 5c2<14
29. 1b1<1 b3
30. b1 4a2-4
31. 1b1+1 a3
32. Sa2 5a1>5
33. 1c1<1 c2
34. c1 1d2-1
35. 1a2-1 1c2-1
36. 2b1>2 d4
37. 4b1+112 1a3>1
38. 1b2+1 1c3<1
39. 2b2+2 c3
40. 5b3-23 1c4<1
41. 2b3+2 Sc4
42. 3b4-3 d5
