[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "F-0"]
[Size "5"]
1. a1 a5
2. Cb1 a3
3. Sa2 b4
4. Sc4 b3
5. e5 c3
6. Sd3 c2
7. e2 d2
8. b5 c1
9. b2 1b3-1
10. b3 1b4-1
11. 1b1+1 1d2>1
12. 3b2>111 b1
13. Sb2 d1
14. 1a2-1 e1
15. 1b2+1 a2
16. 3e2-3 1c1+1
17. Sb2 e2
18. 1b2>1 a4
19. 2a1>2 1a4+1
20. 3b3<3 b3
21. b4 2a5>2
22. 1b4+1 e4
23. 1e5-1 a5
24. 4b5-112 1c3<1
25. 2b2+2 c3
26. b2 1c3<1
27. 1b2+1 c3
28. b2 1c3<1
29. 1b2+1 c3
30. b2 1c3<1
31. 1b2+1 c3
32. 4c2>22 1d1+1
33. 2b3>2 3d2<12
34. 4b3-4 1a2>1
35. 3b1+3 1c2+1
36. 1c4-1 1a5>1
37. c5 1b5-1
38. 5b3+5 Cb1
