[Date "2017.09.18"]
[Player1 "Optimus3Deep"]
[Player2 "SimpleJack3"]
[Result "1/2-1/2"]
[Size "5"]
1. a1 d4
2. c3 d2
3. c5 Sa2
4. b4 Sc2
5. c1 Sa3
6. a4 Sb1
7. e4 Cc4
8. b5 1c4>1
9. e5 2d4+2
10. d4 Sc4
11. d3 Sb3
12. d1 1b1>1
13. e3 Sb1
14. 1e4+1 1c1>1
15. a5 1d1+1
16. e4 1b1>1
17. 1d3+1 Sb1
18. e2 2c1>11
19. c1 1b1>1
20. Cd3 2d2-2
21. 1d3<1 1c4>1
22. c4 3d4<3
23. d4 4c4>22
24. Sc4 Sb1
25. 1b5-1 1d1+1
26. 2b4<2 1c1>1
27. 1a5-1 1b1>1
28. 1e3-1 1d5-1
29. 1d5>1 Sb1
30. 1c4+1 2d4-11
31. 2d4-2 2e4+2
32. 1c5-1 1e1+1
33. 3d3>3 1d1>1
34. 1e4-1 1c1>1
35. 4e3+4 5e5<32
36. 1c4>1 1b1>1
37. 4a4+4 Sb1
38. 2c3>2 1a2-1
39. 4a5>4 1b1+1
40. 4b5<4 1a1>1
41. 4a5>4 a2
42. 4b5<4 1d2-1
43. 2d3<11 1d1+1
44. 2b3+2 1c1>1
45. 1b4<1 1b1>1
46. 1c3+1 b1
47. 1e4-1 1b1<1
48. 1e3+1 1a1>1
49. 1e4-1 1a3-1
50. 1e3+1 1c1<1
51. 1a4+1 1b1>1
52. 1a5-1 1c1<1
53. 1a4+1 1b4<1
54. 5a5>5 1b1>1
55. 1b5-1 1c1<1
56. 1c4-1 1b1>1
57. 1c3<1 1c1<1
58. 1b3>1 1b1>1
59. 1c3<1 1c1<1
60. 1b3<1 1b1>1
61. 1a3>1 1c1<1
62. 1b3>1 1b1>1
63. 1c3+1 1c1<1
64. 1c4-1 1b1>1
65. 1c3+1 1c1<1
66. 1c4-1 1b1>1
67. 1c3+1 1c1<1
68. 1c4-1 1b1>1
69. 1c3+1 1c1<1
70. 1c4-1 1b1>1
71. 1c3+1 1c1<1
72. 1c4-1 1b1>1
73. 1c3<1 1c1<1
74. 1b3>1 1b1>1
75. 1c3+1 1c1<1
76. 1c4-1 1b1>1
77. 1c3<1 1c1<1
78. 1b3<1 1b1>1
79. 1a3>1 1c1<1
80. 1b3<1 1b1>1
81. 1a3>1 1c1<1
82. 1b3<1 1b1>1
83. 1a3>1 1c1<1
84. 1b3<1 1b1>1
85. 1a3>1 1c1<1
86. 1b3<1 1b1>1
87. 1a3>1 1d2>1
88. 1b4<1 4e2+31
89. b4 
