[Date "2017.09.14"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "R-0"]
[Size "5"]
1. e3 a1
2. b1 c3
3. a3 c2
4. b3 b2
5. a2 1b2+1
6. a4 a5
7. 1a4+1 2b3<2
8. 1a2+1 Cb3
9. 4a3-4 Sa4
10. 4a2>112 e2
11. d3 e1
12. 1d3>1 1b3-1
13. c1 2b2>2
14. d1 4c2-4
15. 2d2>2 5c1>23
16. d2 4e1+13
17. 1d2-1 5e3-14
18. Ce3 3e2<21
19. 3d1+12 1e2<1
20. 1d1+1 1e2<1
21. b2 4d2<22
22. 1b1+1 2c2<2
23. b1 3b2-3
24. 1a1>1 3b2-3
25. Sb2 d1
26. 1b2-1 a1
27. 4b1>22 1c3>1
28. 1e3<1 1a1>1
29. 2c1<11 1e1<1
30. 5b1+32 1c2<1
31. 2b1+2 2d2<11
32. 1c2<1 4d1<13
33. 5b2>212 1c1+1
34. 2b2>2 1b1>1
