[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-F"]
[Size "5"]
1. e5 e1
2. Cd5 e3
3. Se4 c3
4. Sc2 d2
5. Sd3 d1
6. b1 e2
7. a1 c1
8. b4 1d1>1
9. Sd1 1c1<1
10. 1d1>1 b3
11. 1a1>1 c1
12. 3b1+12 1c3<1
13. 1b2+1 b2
14. b1 1b2+1
15. 1b4-1 a3
16. 4b3<4 a2
17. b4 1a2+1
18. 3b3<3 a2
19. b3 1a2+1
20. 1b3<1 b3
21. a4 1b3<1
22. 1a4-1 d1
23. b3 b2
24. b5 Ca2
25. 2a3>2 1b2+1
26. 2a3>2 Sb2
27. 4a3+4 1b2+1
28. c4 2b3<2
29. 1b1>1 5a3+23
30. c3 3b3+21
31. a1 1a2-1
32. Sa2 b1
33. Sb2 5a4>113
34. 1b2+1 b2
35. 3b3+12 c5
36. 4b4-112 
