[Date "2017.09.12"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny4Deep"]
[Result "0-R"]
[Size "5"]
1. c4 a5
2. d2 b4
3. e2 b3
4. e3 c3
5. e1 e4
6. 1e3+1 e3
7. 1e2+1 d1
8. e2 1d1>1
9. d1 e5
10. d4 d5
11. 1d4+1 1e5-1
12. 2e3+2 Cd4
13. 5e4-113 a3
14. 2e2+11 b2
15. Cd3 Se5
16. 1d3<1 1e5-1
17. 2c3<2 2e4-2
18. 3b3>111 e4
19. 2e3+2 1d4-1
20. d4 1d3>1
21. 1d4-1 4e3<4
22. c2 5d3-23
23. 1c2>1 4d1+4
24. Sb3 d1
25. 5e1<14 5d2-5
26. 1b3>1 b1
27. c5 1b1>1
28. 2c3-11 b5
29. 1a5>1 1b4+1
30. 1c5<1 c3
31. 5c1+32 b1
32. d4 e2
33. 4b5-22 a1
