[Date "2017.09.18"]
[Player1 "Optimus4Deep"]
[Player2 "SimpleJack4"]
[Result "R-0"]
[Size "5"]
1. b3 d2
2. e2 Ca1
3. e1 b1
4. e3 1b1+1
5. e5 e4
6. 1e5-1 Se5
7. Cd4 1e5-1
8. 1d4>1 Se5
9. d4 Sd5
10. 1d4-1 Sc4
11. d1 b4
12. Sc3 b1
13. 1c3<1 1b1+1
14. 2b3-2 a5
15. c3 b1
16. c5 Sd4
17. c2 1b1>1
18. 1c2-1 b5
19. 1c5<1 b1
20. b3 1c4-1
21. 1b3+1 a4
22. a3 1b1>1
23. 1d1<1 b1
24. 4c1>22 c2
25. c4 1d4<1
26. 1a3+1 1d5-1
27. d5 2c3>2
28. 1d2<1 1b1>1
29. c5 2c4+2
30. c3 b1
31. b3 3c5-21
32. c5 1b1>1
33. 1e4+1 
