[Date "2017.09.13"]
[Player1 "Johnny4Deep"]
[Player2 "Johnny3Stacks"]
[Result "1/2-1/2"]
[Size "5"]
1. e5 a1
2. c1 e4
3. d1 b1
4. 1a1>1 e1
5. 1d1>1 b2
6. d1 1b2-1
7. 1c1<1 e2
8. a1 1e2-1
9. 1d1>1 Sc1
10. 4b1+22 c5
11. a3 d5
12. a4 a5
13. 1a4+1 a4
14. 1a3+1 b4
15. a3 1b4<1
16. 1a3+1 Sa3
17. Cb4 1a3>1
18. 1b4-1 Sa3
19. 1b3<1 Sa2
20. 2a3>2 1a2>1
21. a3 3b2<3
22. 3b3<3 c2
23. 1a3+1 3a2+3
24. 1a4-1 Ca2
25. d4 b2
26. 4e1+22 c3
27. c4 1e4<1
28. 2b3>2 d2
29. 1c4>1 1c2+1
30. 5a3>32 1d2>1
31. 2e3-2 b1
32. 3d4-12 c2
